"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX"
"50","311.2095642089844","311.2095642089844","311.2095642089844","306.6432800292969","306.6432800292969","306.6432800292969","311.9672546386719","311.9672546386719","311.9672546386719"
"51","278.97857666015625","278.97857666015625","278.97857666015625","293.2060852050781","293.2060852050781","293.2060852050781","292.09539794921875","292.09539794921875","292.09539794921875"
"52","320.32501220703125","320.32501220703125","320.32501220703125","309.7926940917969","309.7926940917969","309.7926940917969","329.243896484375","329.243896484375","329.243896484375"
"53","298.75","298.75","298.75","297.4189147949219","297.4189147949219","297.4189147949219","294.0265197753906","294.0265197753906","294.0265197753906"
"54","316.91552734375","316.91552734375","316.91552734375","303.6544189453125","303.6544189453125","303.6544189453125","325.3992919921875","325.3992919921875","325.3992919921875"
"55","294.9301452636719","294.9301452636719","294.9301452636719","281.7083435058594","281.7083435058594","281.7083435058594","307.0032958984375","307.0032958984375","307.0032958984375"
"56","312.62890625","312.62890625","312.62890625","305.1388854980469","305.1388854980469","305.1388854980469","307.67742919921875","307.67742919921875","307.67742919921875"
"57","305.5249938964844","305.5249938964844","305.5249938964844","308.2540283203125","308.2540283203125","308.2540283203125","306.79925537109375","306.79925537109375","306.79925537109375"
"58","294.0833435058594","294.0833435058594","294.0833435058594","285.9144592285156","285.9144592285156","285.9144592285156","315.7589416503906","315.7589416503906","315.7589416503906"
"59","303.403564453125","303.403564453125","303.403564453125","296.4375","296.4375","296.4375","301.09027099609375","301.09027099609375","301.09027099609375"
"60","296.4583435058594","296.4583435058594","296.4583435058594","295.3353576660156","295.3353576660156","295.3353576660156","307.8157958984375","307.8157958984375","307.8157958984375"
"61","280.1000061035156","280.1000061035156","280.1000061035156","271.70074462890625","271.70074462890625","271.70074462890625","307.8881530761719","307.8881530761719","307.8881530761719"
"62","276.9932556152344","276.9932556152344","276.9932556152344","287.0396423339844","287.0396423339844","287.0396423339844","273.59295654296875","273.59295654296875","273.59295654296875"
"63","300.6632080078125","300.6632080078125","300.6632080078125","287.91796875","287.91796875","287.91796875","300.7875061035156","300.7875061035156","300.7875061035156"
"64","299.21112060546875","299.21112060546875","299.21112060546875","299.53692626953125","299.53692626953125","299.53692626953125","323.5","323.5","323.5"
"65","300.38067626953125","300.38067626953125","300.38067626953125","297.06402587890625","297.06402587890625","297.06402587890625","304.5694580078125","304.5694580078125","304.5694580078125"
"66","289.8412170410156","289.8412170410156","289.8412170410156","295.3416748046875","295.3416748046875","295.3416748046875","303.20947265625","303.20947265625","303.20947265625"
"67","295.0531311035156","295.0531311035156","295.0531311035156","299.15625","299.15625","299.15625","291.854736328125","291.854736328125","291.854736328125"
"68","312","312","312","299.328125","299.328125","299.328125","317.75640869140625","317.75640869140625","317.75640869140625"
