"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MAX"
"100","0.5655799848369977","0.5655799848369977","0.5655799848369977","0.558756633813495","0.558756633813495","0.558756633813495","0.555724033358605","0.555724033358605","0.555724033358605","0.5579984836997726","0.5579984836997726","0.5579984836997726"
"105","0.5617892342683851","0.5617892342683851","0.5617892342683851","0.5640636846095527","0.5640636846095527","0.5640636846095527","0.5731614859742229","0.5731614859742229","0.5731614859742229","0.5496588324488249","0.5496588324488249","0.5496588324488249"
"110","0.558756633813495","0.558756633813495","0.558756633813495","0.5663381349507203","0.5663381349507203","0.5663381349507203","0.5724033358605004","0.5724033358605004","0.5724033358605004","0.5602729340409401","0.5602729340409401","0.5602729340409401"
"115","0.574677786201668","0.574677786201668","0.574677786201668","0.5504169825625473","0.5504169825625473","0.5504169825625473","0.5739196360879454","0.5739196360879454","0.5739196360879454","0.5640636846095527","0.5640636846095527","0.5640636846095527"
"120","0.5784685367702805","0.5784685367702805","0.5784685367702805","0.5640636846095527","0.5640636846095527","0.5640636846095527","0.5769522365428355","0.5769522365428355","0.5769522365428355","0.5670962850644428","0.5670962850644428","0.5670962850644428"
"125","0.5769522365428355","0.5769522365428355","0.5769522365428355","0.5716451857467779","0.5716451857467779","0.5716451857467779","0.5716451857467779","0.5716451857467779","0.5716451857467779","0.5693707354056103","0.5693707354056103","0.5693707354056103"
"130","0.5807429871114481","0.5807429871114481","0.5807429871114481","0.5724033358605004","0.5724033358605004","0.5724033358605004","0.5860500379075056","0.5860500379075056","0.5860500379075056","0.5724033358605004","0.5724033358605004","0.5724033358605004"
"135","0.5860500379075056","0.5860500379075056","0.5860500379075056","0.5784685367702805","0.5784685367702805","0.5784685367702805","0.5686125852918877","0.5686125852918877","0.5686125852918877","0.5815011372251706","0.5815011372251706","0.5815011372251706"
"140","0.5905989385898408","0.5905989385898408","0.5905989385898408","0.579226686884003","0.579226686884003","0.579226686884003","0.5807429871114481","0.5807429871114481","0.5807429871114481","0.5860500379075056","0.5860500379075056","0.5860500379075056"
"145","0.5708870356330553","0.5708870356330553","0.5708870356330553","0.5845337376800607","0.5845337376800607","0.5845337376800607","0.5784685367702805","0.5784685367702805","0.5784685367702805","0.5868081880212282","0.5868081880212282","0.5868081880212282"
"150","0.5686125852918877","0.5686125852918877","0.5686125852918877","0.5890826383623957","0.5890826383623957","0.5890826383623957","0.5837755875663382","0.5837755875663382","0.5837755875663382","0.5830174374526156","0.5830174374526156","0.5830174374526156"
