"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy__MAX"
"96","0.11665034294128418","0.11665034294128418","0.11665034294128418","0.11147269606590271","0.11147269606590271","0.11147269606590271"
"97","0.10911166667938232","0.10911166667938232","0.10911166667938232","0.11188165843486786","0.11188165843486786","0.11188165843486786"
"98","0.11400099098682404","0.11400099098682404","0.11400099098682404","0.12926357984542847","0.12926357984542847","0.12926357984542847"
"99","0.12018109858036041","0.12018109858036041","0.12018109858036041","0.12513701617717743","0.12513701617717743","0.12513701617717743"
"100","0.11988881230354309","0.11988881230354309","0.11988881230354309","0.11852109432220459","0.11852109432220459","0.11852109432220459"
"101","0.11659929901361465","0.11659929901361465","0.11659929901361465","0.11675000935792923","0.11675000935792923","0.11675000935792923"
"102","0.11513879150152206","0.11513879150152206","0.11513879150152206","0.12355182319879532","0.12355182319879532","0.12355182319879532"
"103","0.12058496475219727","0.12058496475219727","0.12058496475219727","0.12344643473625183","0.12344643473625183","0.12344643473625183"
"104","0.10813557356595993","0.10813557356595993","0.10813557356595993","0.10878829658031464","0.10878829658031464","0.10878829658031464"
"105","0.11226943135261536","0.11226943135261536","0.11226943135261536","0.1163037046790123","0.1163037046790123","0.1163037046790123"
"106","0.12013513594865799","0.12013513594865799","0.12013513594865799","0.11933958530426025","0.11933958530426025","0.11933958530426025"
"107","0.12070214003324509","0.12070214003324509","0.12070214003324509","0.12805621325969696","0.12805621325969696","0.12805621325969696"
"108","0.11029286682605743","0.11029286682605743","0.11029286682605743","0.11498336493968964","0.11498336493968964","0.11498336493968964"
"109","0.12160128355026245","0.12160128355026245","0.12160128355026245","0.11342077702283859","0.11342077702283859","0.11342077702283859"
"110","0.12581078708171844","0.12581078708171844","0.12581078708171844","0.11913864314556122","0.11913864314556122","0.11913864314556122"
"111","0.10990273952484131","0.10990273952484131","0.10990273952484131","0.11516187340021133","0.11516187340021133","0.11516187340021133"
"112","0.1310686469078064","0.1310686469078064","0.1310686469078064","0.12191151827573776","0.12191151827573776","0.12191151827573776"
"113","0.13217411935329437","0.13217411935329437","0.13217411935329437","0.11772135645151138","0.11772135645151138","0.11772135645151138"
"114","0.1259860247373581","0.1259860247373581","0.1259860247373581","0.12055597454309464","0.12055597454309464","0.12055597454309464"
"115","0.12494716048240662","0.12494716048240662","0.12494716048240662","0.12017032504081726","0.12017032504081726","0.12017032504081726"
"116","0.10638651996850967","0.10638651996850967","0.10638651996850967","0.11720738559961319","0.11720738559961319","0.11720738559961319"
"117","0.1202838346362114","0.1202838346362114","0.1202838346362114","0.11579898744821548","0.11579898744821548","0.11579898744821548"
"118","0.10477622598409653","0.10477622598409653","0.10477622598409653","0.10891590267419815","0.10891590267419815","0.10891590267419815"
"119","0.11224646121263504","0.11224646121263504","0.11224646121263504","0.11001039296388626","0.11001039296388626","0.11001039296388626"
"120","0.11992458999156952","0.11992458999156952","0.11992458999156952","0.13124990463256836","0.13124990463256836","0.13124990463256836"
"121","0.11426542699337006","0.11426542699337006","0.11426542699337006","0.12348318099975586","0.12348318099975586","0.12348318099975586"
"122","0.10579019039869308","0.10579019039869308","0.10579019039869308","0.09580527991056442","0.09580527991056442","0.09580527991056442"
"123","0.11972679942846298","0.11972679942846298","0.11972679942846298","0.11494766175746918","0.11494766175746918","0.11494766175746918"
"124","0.1173776388168335","0.1173776388168335","0.1173776388168335","0.1105642169713974","0.1105642169713974","0.1105642169713974"
"125","0.12960383296012878","0.12960383296012878","0.12960383296012878","0.1255110502243042","0.1255110502243042","0.1255110502243042"
