"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MAX"
"68","317.75640869140625","317.75640869140625","317.75640869140625","295.0032958984375","295.0032958984375","295.0032958984375"
"69","317.7357177734375","317.7357177734375","317.7357177734375","296.6959533691406","296.6959533691406","296.6959533691406"
"70","313.5197448730469","313.5197448730469","313.5197448730469","302.895263671875","302.895263671875","302.895263671875"
"71","307.3999938964844","307.3999938964844","307.3999938964844","291.6191711425781","291.6191711425781","291.6191711425781"
"72","307.07501220703125","307.07501220703125","307.07501220703125","280.27557373046875","280.27557373046875","280.27557373046875"
"73","293.41796875","293.41796875","293.41796875","286.7109375","286.7109375","286.7109375"
"74","315.9439697265625","315.9439697265625","315.9439697265625","298.5723571777344","298.5723571777344","298.5723571777344"
"75","309.5434875488281","309.5434875488281","309.5434875488281","297.9519348144531","297.9519348144531","297.9519348144531"
"76","327.82501220703125","327.82501220703125","327.82501220703125","306.09796142578125","306.09796142578125","306.09796142578125"
"77","304.44354248046875","304.44354248046875","304.44354248046875","275.3367919921875","275.3367919921875","275.3367919921875"
"78","305.7852478027344","305.7852478027344","305.7852478027344","277.37152099609375","277.37152099609375","277.37152099609375"
"79","306.31793212890625","306.31793212890625","306.31793212890625","300.7383728027344","300.7383728027344","300.7383728027344"
"80","346.38214111328125","346.38214111328125","346.38214111328125","325.75","325.75","325.75"
"81","312.51873779296875","312.51873779296875","312.51873779296875","298.3125","298.3125","298.3125"
"82","314.78570556640625","314.78570556640625","314.78570556640625","290.3970642089844","290.3970642089844","290.3970642089844"
"83","316.2275695800781","316.2275695800781","316.2275695800781","298.4840393066406","298.4840393066406","298.4840393066406"
"84","294.8187561035156","294.8187561035156","294.8187561035156","293.72369384765625","293.72369384765625","293.72369384765625"
"85","329.4032287597656","329.4032287597656","329.4032287597656","330.46551513671875","330.46551513671875","330.46551513671875"
"86","343.9901428222656","343.9901428222656","343.9901428222656","327.53125","327.53125","327.53125"
"87","305.15972900390625","305.15972900390625","305.15972900390625","278.2177429199219","278.2177429199219","278.2177429199219"
"88","290.79998779296875","290.79998779296875","290.79998779296875","290.514892578125","290.514892578125","290.514892578125"
"89","308.9763488769531","308.9763488769531","308.9763488769531","288.6392822265625","288.6392822265625","288.6392822265625"
"90","339.97857666015625","339.97857666015625","339.97857666015625","328.1785583496094","328.1785583496094","328.1785583496094"
"91","328.5178527832031","328.5178527832031","328.5178527832031","306.49468994140625","306.49468994140625","306.49468994140625"
"92","312.9008483886719","312.9008483886719","312.9008483886719","299.9453125","299.9453125","299.9453125"
"93","334.6628723144531","334.6628723144531","334.6628723144531","303.26690673828125","303.26690673828125","303.26690673828125"
"94","315.69757080078125","315.69757080078125","315.69757080078125","312.8709716796875","312.8709716796875","312.8709716796875"
"95","324.2447814941406","324.2447814941406","324.2447814941406","299.5819091796875","299.5819091796875","299.5819091796875"
"96","331.75","331.75","331.75","309.2664489746094","309.2664489746094","309.2664489746094"
"97","321.86248779296875","321.86248779296875","321.86248779296875","296.66278076171875","296.66278076171875","296.66278076171875"
"98","301.9333190917969","301.9333190917969","301.9333190917969","300.0189514160156","300.0189514160156","300.0189514160156"
"99","325.3992919921875","325.3992919921875","325.3992919921875","304.4479064941406","304.4479064941406","304.4479064941406"
"100","320.54583740234375","320.54583740234375","320.54583740234375","283.78125","283.78125","283.78125"
"101","340.4351806640625","340.4351806640625","340.4351806640625","303.9659118652344","303.9659118652344","303.9659118652344"
"102","314.683837890625","314.683837890625","314.683837890625","298.375","298.375","298.375"
"103","315.07720947265625","315.07720947265625","315.07720947265625","314.0845642089844","314.0845642089844","314.0845642089844"
"104","340.0161437988281","340.0161437988281","340.0161437988281","294.0914611816406","294.0914611816406","294.0914611816406"
"105","304.4959716796875","304.4959716796875","304.4959716796875","289.03570556640625","289.03570556640625","289.03570556640625"
"106","321.82720947265625","321.82720947265625","321.82720947265625","310.6480407714844","310.6480407714844","310.6480407714844"
"107","339.5443420410156","339.5443420410156","339.5443420410156","311.8653869628906","311.8653869628906","311.8653869628906"
"108","329.7401428222656","329.7401428222656","329.7401428222656","304.9455261230469","304.9455261230469","304.9455261230469"
"109","335.99139404296875","335.99139404296875","335.99139404296875","303.7250061035156","303.7250061035156","303.7250061035156"
"110","307.3055419921875","307.3055419921875","307.3055419921875","278.7109375","278.7109375","278.7109375"
"111","313.3888854980469","313.3888854980469","313.3888854980469","282.2782287597656","282.2782287597656","282.2782287597656"
"112","325.5625","325.5625","325.5625","300.1773376464844","300.1773376464844","300.1773376464844"
"113","336.2652587890625","336.2652587890625","336.2652587890625","292.2788391113281","292.2788391113281","292.2788391113281"
"114","330.94140625","330.94140625","330.94140625","318.3588562011719","318.3588562011719","318.3588562011719"
"115","310.20947265625","310.20947265625","310.20947265625","285.2532043457031","285.2532043457031","285.2532043457031"
"116","322.7727355957031","322.7727355957031","322.7727355957031","315.34539794921875","315.34539794921875","315.34539794921875"
"117","342.1088562011719","342.1088562011719","342.1088562011719","307.6628723144531","307.6628723144531","307.6628723144531"
"118","322.734375","322.734375","322.734375","303.4513854980469","303.4513854980469","303.4513854980469"
"119","316.7115478515625","316.7115478515625","316.7115478515625","302.62890625","302.62890625","302.62890625"
"120","312.7392883300781","312.7392883300781","312.7392883300781","305.8576354980469","305.8576354980469","305.8576354980469"
"121","313.9839782714844","313.9839782714844","313.9839782714844","305.1285705566406","305.1285705566406","305.1285705566406"
"122","334.16827392578125","334.16827392578125","334.16827392578125","312.92242431640625","312.92242431640625","312.92242431640625"
"123","342.28125","342.28125","342.28125","315.55126953125","315.55126953125","315.55126953125"
"124","337.7121276855469","337.7121276855469","337.7121276855469","308.7008972167969","308.7008972167969","308.7008972167969"
